# time_in_ns	dG_in_kT
8.810	-3.437500
8.820	-3.437500
8.830	-3.437500
8.840	-3.437500
8.850	-3.437500
8.860	-3.437500
8.870	-3.437500
8.880	-3.437500
8.890	-3.437500
8.900	-3.437500
8.910	-3.437500
8.920	-3.437500
8.930	-3.437500
8.940	-3.437500
8.950	-3.437500
8.960	-3.437500
8.970	-3.437500
8.980	-3.437500
8.990	-3.437500
9.000	-3.437500
9.010	-3.437500
9.020	-3.437500
9.030	-3.437500
9.040	-3.437500
9.050	-3.437500
9.060	-3.437500
9.070	-3.437500
9.080	-3.437500
9.090	-3.437500
9.100	-3.437500
9.110	-3.437500
9.120	-3.437500
9.130	-3.437500
9.140	-3.437500
9.150	-3.437500
9.160	-3.437500
9.170	-3.437500
9.180	-3.437500
9.190	-3.437500
9.200	-3.437500
9.210	-3.437500
9.220	-3.437500
9.230	-3.515620
9.240	-3.515620
9.250	-3.671880
9.260	-3.671880
9.270	-3.671880
9.280	-3.671880
9.290	-3.671880
9.300	-3.671880
9.310	-3.671880
9.320	-3.828120
9.330	-3.906250
9.340	-3.906250
9.350	-3.906250
9.360	-3.906250
9.370	-3.906250
9.380	-3.906250
9.390	-3.906250
9.400	-3.906250
9.410	-3.906250
9.420	-3.906250
9.430	-3.906250
9.440	-3.671880
9.450	-3.593750
9.460	-3.359380
9.470	-2.968750
9.480	-2.578120
9.490	-2.031250
9.500	-1.562500
9.510	-1.562500
9.520	-1.093750
9.530	-0.703120
9.540	-0.546880
9.550	-0.468750
9.560	-0.156250
9.570	-0.156250
9.580	-0.156250
9.590	-0.156250
9.600	-0.156250
9.610	-0.156250
9.620	-0.156250
9.630	-0.156250
9.640	-0.156250
9.650	-0.156250
9.660	-0.156250
9.670	-0.156250
9.680	-0.156250
9.690	0.234380
9.700	0.234380
9.710	0.234380
9.720	0.234380
9.730	0.234380
9.740	0.703120
9.750	1.250000
9.760	1.484380
9.770	1.875000
9.780	2.421880
9.790	2.500000
9.800	2.656250
9.810	2.656250
9.820	2.656250
9.830	2.968750
9.840	2.968750
9.850	2.968750
9.860	2.968750
9.870	3.046880
9.880	3.046880
9.890	3.046880
9.900	3.046880
9.910	3.046880
9.920	3.046880
9.930	3.046880
9.940	3.046880
9.950	3.046880
9.960	3.046880
9.970	3.046880
9.980	3.046880
9.990	3.046880
10.000	3.046880
10.010	3.046880
10.020	3.046880
10.030	3.046880
10.040	3.046880
10.050	3.046880
10.060	3.046880
10.070	3.046880
10.080	3.046880
